M1 | NGC 1952 | Crab Nebula | Supernova remnant | 4.9–8.1 | Taurus
M2 | NGC 7089 | — | Globular cluster | 33 | Aquarius
M3 | NGC 5272 | — | Globular cluster | 33.9 | Canes Venatici
M4 | NGC 6121 | Spider Globular Cluster | Globular cluster | 7.2 | Scorpius
M5 | NGC 5904 | Rose Cluster | Globular cluster | 24.5 | Serpens
M6 | NGC 6405 | Butterfly Cluster | Open cluster | 1.6 | Scorpius
M7 | NGC 6475 | Ptolemy's Cluster | Open cluster | 0.65–1.31 | Scorpius
M8 | NGC 6523 | Lagoon Nebula | Nebula with cluster | 4.1 | Sagittarius
M9 | NGC 6333 | — | Globular cluster | 25.8 | Ophiuchus
M10 | NGC 6254 | — | Globular cluster | 14.3 | Ophiuchus
M11 | NGC 6705 | Wild Duck Cluster | Open cluster | 6.2 | Scutum
M12 | NGC 6218 | — | Globular cluster | 15.7 | Ophiuchus
M13 | NGC 6205 | Great Hercules Cluster | Globular cluster | 22.2 | Hercules
M14 | NGC 6402 | — | Globular cluster | 30.3 | Ophiuchus
M15 | NGC 7078 | Great Pegasus Cluster | Globular cluster | 33 | Pegasus
M16 | NGC 6611 | Eagle Nebula | H II region nebula with cluster | 7 | Serpens
M17 | NGC 6618 | Omega Nebula | H II region nebula with cluster | 5–6 | Sagittarius
M18 | NGC 6613 | Black Swan Cluster | Open cluster | 4.9 | Sagittarius
M19 | NGC 6273 | — | Globular cluster | 28.7 | Ophiuchus
M20 | NGC 6514 | Trifid Nebula | H II region nebula with cluster | 5.2 | Sagittarius
M21 | NGC 6531 | Webb's Cross Cluster | Open cluster | 4.25 | Sagittarius
M22 | NGC 6656 | Great Sagittarius Cluster | Globular cluster | 9.6–11.6 | Sagittarius
M23 | NGC 6494 | — | Open cluster | 2.15 | Sagittarius
M24 | IC 4715 | Small Sagittarius Star Cloud | Milky Way star cloud | ~10 | Sagittarius
M25 | IC 4725 | — | Open cluster | 2.0 | Sagittarius
M26 | NGC 6694 | — | Open cluster | 5.0 | Scutum
M27 | NGC 6853 | Dumbbell Nebula | Planetary nebula | 1.148–1.52 | Vulpecula
M28 | NGC 6626 | — | Globular cluster | 17.9 | Sagittarius
M29 | NGC 6913 | Cooling Tower Cluster | Open cluster | 7.2 | Cygnus
M30 | NGC 7099 | Jellyfish Cluster | Globular cluster | 27.8–31 | Capricornus
M31 | NGC 224 | Andromeda Galaxy | Spiral galaxy | 2430–2650 | Andromeda
M32 | NGC 221 | Andromeda Satellite #1 | Dwarf elliptical galaxy | 2410–2570 | Andromeda
M33 | NGC 598 | Triangulum Galaxy | Spiral galaxy | 2380–3070 | Triangulum
M34 | NGC 1039 | Spiral Cluster | Open cluster | 1.5 | Perseus
M35 | NGC 2168 | Shoe-Buckle Cluster | Open cluster | 2.8 | Gemini
M36 | NGC 1960 | Pinwheel Cluster | Open cluster | 4.1 | Auriga
M37 | NGC 2099 | Salt and Pepper Cluster | Open cluster | 4.511 | Auriga
M38 | NGC 1912 | Starfish Cluster | Open cluster | 4.2 | Auriga
M39 | NGC 7092 | Pyramid Cluster | Open cluster | 0.8244 | Cygnus
M40 | — | Winnecke 4 | Optical Double | 0.51 | Ursa Major
M41 | NGC 2287 | Little Beehive Cluster | Open cluster | 2.3 | Canis Major
M42 | NGC 1976 | Great Orion Nebula | H II region nebula | 1.324–1.364 | Orion
M43 | NGC 1982 | De Mairan's Nebula | H II region nebula | 1.3 | Orion
M44 | NGC 2632 | Beehive Cluster | Open cluster | 0.577 | Cancer
M45 | — | Pleiades | Open cluster | 0.39–0.46 | Taurus
M46 | NGC 2437 | — | Open cluster | 5.4 | Puppis
M47 | NGC 2422 | — | Open cluster | 1.6 | Puppis
M48 | NGC 2548 | — | Open cluster | 1.5 | Hydra
M49 | NGC 4472 | — | Elliptical galaxy | 53600–58200 | Virgo
M50 | NGC 2323 | Heart-Shaped Cluster | Open cluster | 3.2 | Monoceros
M51 | NGC 5194 | Whirlpool Galaxy | Spiral galaxy | 19000–27000 | Canes Venatici
M52 | NGC 7654 | Scorpion Cluster | Open cluster | 5.0 | Cassiopeia
M53 | NGC 5024 | — | Globular cluster | 58 | Coma Berenices
M54 | NGC 6715 | — | Globular cluster | 87.4 | Sagittarius
M55 | NGC 6809 | Specter Cluster | Globular cluster | 17.6 | Sagittarius
M56 | NGC 6779 | — | Globular cluster | 32.9 | Lyra
M57 | NGC 6720 | Ring Nebula | Planetary nebula | 1.6–3.8 | Lyra
M58 | NGC 4579 | — | Barred Spiral galaxy | ~63000 | Virgo
M59 | NGC 4621 | — | Elliptical galaxy | 55000–65000 | Virgo
M60 | NGC 4649 | — | Elliptical galaxy | 51000–59000 | Virgo
M61 | NGC 4303 | Swelling Spiral Galaxy | Spiral galaxy | 50200–54800 | Virgo
M62 | NGC 6266 | Flickering Globular | Globular cluster | 22.2 | Ophiuchus
M63 | NGC 5055 | Sunflower Galaxy | Spiral galaxy | 37000 | Canes Venatici
M64 | NGC 4826 | Black Eye Galaxy | Spiral galaxy | 22000–26000 | Coma Berenices
M65 | NGC 3623 | Leo Triplet | Barred Spiral galaxy | 41000–42000 | Leo
M66 | NGC 3627 | Leo Triplet | Barred Spiral galaxy | 31000–41000 | Leo
M67 | NGC 2682 | King Cobra Cluster | Open cluster | 2.61–2.93 | Cancer
M68 | NGC 4590 | — | Globular cluster | 33.6 | Hydra
M69 | NGC 6637 | — | Globular cluster | 29.7 | Sagittarius
M70 | NGC 6681 | — | Globular cluster | 29.4 | Sagittarius
M71 | NGC 6838 | Angelfish Cluster | Globular cluster | 13.0 | Sagitta
M72 | NGC 6981 | — | Globular cluster | 53.40–55.74 | Aquarius
M73 | NGC 6994 | — | Asterism | ~2.5 | Aquarius
M74 | NGC 628 | Phantom Galaxy | Spiral galaxy | 24000–36000 | Pisces
M75 | NGC 6864 | — | Globular cluster | 67.5 | Sagittarius
M76 | NGC 650 | Little Dumbbell Nebula | Planetary nebula | 2.5 | Perseus
M77 | NGC 1068 | Cetus A | Spiral galaxy | 47000 | Cetus
M78 | NGC 2068 | — | Diffuse nebula | 1.6 | Orion
M79 | NGC 1904 | — | Globular cluster | 41 | Lepus
M80 | NGC 6093 | — | Globular cluster | 32.6 | Scorpius
M81 | NGC 3031 | Bode's Galaxy | Spiral galaxy | 11400–12200 | Ursa Major
M82 | NGC 3034 | Cigar Galaxy | Starburst galaxy | 10700–12300 | Ursa Major
M83 | NGC 5236 | Southern Pinwheel Galaxy | Barred Spiral galaxy | 14700 | Hydra
M84 | NGC 4374 | — | Lenticular galaxy | 57000–63000 | Virgo
M85 | NGC 4382 | — | Lenticular galaxy | 56000–64000 | Coma Berenices
M86 | NGC 4406 | — | Lenticular galaxy | 49000–55000 | Virgo
M87 | NGC 4486 | Virgo A | Elliptical galaxy | 51870–55130 | Virgo
M88 | NGC 4501 | — | Spiral galaxy | 39000–56000 | Coma Berenices
M89 | NGC 4552 | — | Elliptical galaxy | 47000–53000 | Virgo
M90 | NGC 4569 | Carabin Galaxy | Spiral galaxy | 55900–61500 | Virgo
M91 | NGC 4548 | — | Barred Spiral galaxy | 47000–79000 | Coma Berenices
M92 | NGC 6341 | — | Globular cluster | 26.7 | Hercules
M93 | NGC 2447 | Critter Cluster | Open cluster | 3.6 | Puppis
M94 | NGC 4736 | Cat's Eye Galaxy | Spiral galaxy | 14700–17300 | Canes Venatici
M95 | NGC 3351 | — | Barred Spiral galaxy | 31200–34000 | Leo
M96 | NGC 3368 | — | Spiral galaxy | 28000–34000 | Leo
M97 | NGC 3587 | Owl Nebula | Planetary nebula | 2.03 | Ursa Major
M98 | NGC 4192 | — | Spiral galaxy | 44400 | Coma Berenices
M99 | NGC 4254 | St. Catherine's Wheel | Spiral galaxy | 44700–55700 | Coma Berenices
M100 | NGC 4321 | Mirror Galaxy | Spiral galaxy | 55000 | Coma Berenices
M101 | NGC 5457 | Pinwheel Galaxy | Spiral galaxy | 19100–22400 | Ursa Major
M102 | NGC 5866 | Spindle Galaxy | Lenticular galaxy | 50000 | Draco
M103 | NGC 581 | — | Open cluster | 10 | Cassiopeia
M104 | NGC 4594 | Sombrero Galaxy | Spiral galaxy | 28700–30900 | Virgo
M105 | NGC 3379 | — | Elliptical galaxy | 30400–33600 | Leo
M106 | NGC 4258 | — | Spiral galaxy | 22200–25200 | Canes Venatici
M107 | NGC 6171 | Crucifix Cluster | Globular cluster | 20.9 | Ophiuchus
M108 | NGC 3556 | Surfboard Galaxy | Barred Spiral galaxy | 46000 | Ursa Major
M109 | NGC 3992 | Vacuum Cleaner Galaxy | Barred Spiral galaxy | 59500–107500 | Ursa Major
M110 | NGC 205 | Andromeda Satellite #2 | Dwarf elliptical galaxy | 2600–2780 | Andromeda
