# NASA Exoplanet Archive pscomppars, as of 2026-09-08; slimmed by scripts/build-exoplanets.py
pl_name,hostname,ra,dec,sy_dist,pl_rade,pl_bmasse,pl_orbper,disc_year,discoverymethod,st_teff,st_rad,st_spectype
HD 2039 b,HD 2039,6.08511,-56.65,85.692,12.7,1999.15,1120,2002,Radial Velocity,5945,1.19,G2/G3 IV/V
HAT-P-8 b,HAT-P-8,343.041,35.4472,211.553,15.693,406.822,3.07634,2008,Transit,6200,1.57,F6
K2-43 b,K2-43,169.117,-3.97544,182.536,4.51,18.5,3.47115,2016,Transit,3841,0.542,
Kepler-1753 b,Kepler-1753,288.237,46.6059,707.688,2.227,5.59,16.0046,2021,Transit,5180,0.769,
Kepler-1176 b,Kepler-1176,297.92,45.2742,864.699,2.45,6.57,24.1739,2016,Transit,5844,1.02,
K2-126 b,K2-126,203.547,-13.577,102.953,1.97,4.54,7.38565,2017,Transit,4339,0.65,
Kepler-1263 b,Kepler-1263,286.484,46.7526,664.83,1.14,1.55,4.5514,2016,Transit,5213,0.8,
Kepler-1416 b,Kepler-1416,298.663,43.8941,949.59,0.88,0.615,1.49515,2016,Transit,6019,1.15,
Kepler-1542 c,Kepler-1542,285.728,42.6545,399.114,0.65,0.208,2.89223,2016,Transit,5564,0.99,
K2-85 b,K2-85,59.4648,18.465,97.218,1.4,3.2,0.68454,2016,Transit,4232,0.71,
Kepler-368 c,Kepler-368,291.88,45.3878,770.978,3.88,14.3,72.3793,2014,Transit,5502,2.019,
K2-123 b,K2-123,134.444,21.4533,161.555,2.76,8.05,30.9515,2017,Transit,4035,0.59,
Kepler-770 b,Kepler-770,286.49,38.3749,930.457,2.3,5.9,18.9254,2016,Transit,5598,0.92,
Kepler-1399 b,Kepler-1399,293.312,46.0416,1385.7,1.25,2.1,1.63865,2016,Transit,5735,0.96,
Kepler-723 b,Kepler-723,284.83,44.6581,1071.8,12.19,,4.08228,2016,Transit,5539,0.89,
K2-107 b,K2-107,284.985,-22.2934,685.2,15.98,266.977,3.31396,2017,Transit,6061,1.81,F9 IV
K2-45 b,K2-45,169.633,-1.77406,495.317,6.71,36.4,1.72927,2016,Transit,4103,0.445,
K2-365 b,K2-365,238.82,-21.027,187.222,2.906,8.78,23.4482,2022,Transit,5561,1.051,
K2-127 b,K2-127,207.078,-11.589,709.999,8.37,52.9,3.58816,2017,Transit,4575,0.66,
K2-195 b,K2-195,199.832,-8.50954,315.014,3.13,9.96,15.853,2018,Transit,5713,0.99,
K2-80 c,K2-80,59.0375,13.559,200.802,1.47,2.76,5.605,2016,Transit,5441,0.87,
K2-229 c,K2-229,186.873,-6.72185,102.564,2.03,7,8.32727,2018,Transit,5315,0.79,G9
HAT-P-3 b,HAT-P-3,206.094,48.0286,134.554,10.536,206.589,2.8997,2007,Transit,5185,0.87,K1
WASP-32 b,WASP-32,3.96171,1.20051,275.994,10.761,835.893,2.71866,2010,Transit,6140,0.95,
WASP-24 b,WASP-24,227.215,2.34329,322.114,15.468,394.109,2.34121,2010,Transit,6075,1.42,
Kepler-65 c,Kepler-65,288.689,41.1511,303.728,2.58,5.4,5.85994,2012,Transit,6211,1.41,
TrES-2 b,TrES-2,286.809,49.3164,215.32,15.244,473.567,2.47063,2006,Transit,5850,1.12,G0 V
Kepler-939 b,Kepler-939,293.866,47.0268,2093.62,1.75,3.71,14.8783,2016,Transit,5471,0.85,
